Key,"English, en-US","French, fr","Hindi (India), hi_IN","Romanian (Romania), ro_RO"
staff.generalDesc,"Staff information forms provide key data on staff that can be used to keep track of who worked for the company, when, and in what positions.","Les formulaires d'informations sur le personnel fournissent des données clés sur le personnel qui peuvent être utilisées pour suivre qui a travaillé pour l'entreprise, quand, et dans quelles positions.","कर्मचारी जानकारी फॉर्म कर्मचारियों पर मुख्य डेटा प्रदान करते हैं जिसे कंपनी के लिए कौन काम किया, कब, और किस पद में काम किया गया है की निगरानी रखने के लिए प्रयुक्त किया जा सकता है।","Formularele cu informații despre personal furnizeaza date cheie despre angajati, care pot fi folosite pentru a tine evidenta cine a lucrat pentru companie, cand si în ce pozitii"
staff.noData,"No staff available","Aucun personnel disponible","कोई स्टाफ उपलब्ध नहीं","Nici un personal disponibil"
staff.permissionDesc,"Give staff access to your store by sending them an invitation. If you are working with a designer, developer, or marketer, find out how to give collaborator access to your store.","Donnez aux employés l'accès à votre magasin en leur envoyant une invitation. Si vous travaillez avec un concepteur, un développeur ou un marketeur, découvrez comment leur donner accès en tant que collaborateurs à votre magasin.","कर्मचारियों को आमंत्रित करके आपके दुकान तक पहुंच दें। यदि आप डिज़ाइनर, डेवलपर, या मार्केटर के साथ काम कर रहे हैं, तो जांचें कि उन्हें अपने दुकान के सहयोगी पहुंच कैसे देने के बारे में।","Oferiti acces personalului la magazinul dumneavoastra, trimitandu-le o invitatie. Daca lucrați cu un designer, dezvoltator sau specialist în marketing, aflati cum să oferiti acces colaboratorului la magazinul dumneavoastra"
staff.securityInfo,"Security to make your accounts unbreakable.","Sécurité pour rendre vos comptes incassables.","आपके खातों को अटूट बनाने के लिए सुरक्षा।","Securitate pentru a face conturile dumneavoastra impenetrabile"
staffAccess,"Staff Access","Accès du personnel","स्टाफ एक्सेस",
standbyBookingsOutOf,"Standby bookings ({count} out of {capacity})","Réservations en liste d'attente ({count} sur {capacity})","इंतजार बुकिंग ({count} में से {capacity})","Rezervări pe lista de așteptare  ({count} sur {capacity})"
startAt,"Start at","Commencer à","शुरू होने पर","Incepe la"
startsAt,"Starts At","Commence à","शुरू होता है","Incep la"
startScanning,"Start Scanning","Démarrer la numérisation","स्कैनिंग शुरू करें","Start Scanare"
statsAndSettings,"Stats & Settings","Statistiques et paramètres","स्टैट्स और सेटिंग्स","Statistici si setări"
stopScanning,"Stop Scanning","Arrêter la numérisation","स्कैनिंग रोकें","Stop Scanare"
subject,"Subject","Sujet","विषय","Subiect"
submit,"Submit","Soumettre","सबमिट","Trimite"
submitCart,"Submit Cart","Soumettre le panier","कार्ट सबमिट करें","Trimiteți coșul"
subscribeNow,"Subscribe now","Abonnez-vous maintenant","अब इसका सदस्य बनें","Aboneaza-te acum"
subscription,"Subscription","Abonnement","सदस्यता","Abonament"
surname,"Surname","Nom de famille","उपनाम","Nume de familie"
tagLine,"Tag line","Slogan","टैग लाइन","Slogan"
tasks.activityDesc,"With activity, you can view detailed histories and write reply for task.","Avec l'activité, vous pouvez consulter les historiques détaillés et rédiger une réponse aux tâches.","क्रियात्मकता के साथ, आप विस्तृत इतिहास देख सकते हैं और कार्य के लिए उत्तर लिख सकते हैं","Cu ajutorul functiei de activitate, puteti vizualiza istoricul detaliat și puteți scrie raspunsuri pentru sarcini"
tasks.noData,"No tasks available","Aucune tâche disponible","कोई कार्य उपलब्ध नहीं है","Nu sunt sarcini disponibile"
templates.noData,"No templates available","Aucun modèle disponible","कोई टेम्पलेट उपलब्ध नहीं है","Nici un template disponibil"
templates.schedulesDesc,"Template class schedules will be use to changed bulk week class schedules.","Les horaires de cours modèles seront utilisés pour modifier les horaires de cours en vrac par semaine.","बल्क सप्ताह कक्षा अनुसूचियों को बदलने के लिए उपयोग किए जाएंगे।","Sabloanele de programe ale claselor vor fi folosite pentru a modifica programele saptamanale ale claselor in bulk"
templates.schedulesTitle,"Template schedules","Programmes modèles","टेम्पलेट समय सारणियों","Sablon pentru programare"
thumbnail,"Thumbnail","Miniature","थंबनेल","Miniatura"
title,"Title","Titre","शीर्षक","Titlu"
titleLine1,"Title line 1","Ligne de titre 1","शीर्षक लाइन १","Titlu linia 1"
titleLine2,"Title line 2","Ligne de titre 2","शीर्षक लाइन २","Titlu linia 2"
tooltip.bulkPrint,"Bulk Print","Impression en masse","थोक प्रिंट","Printeaza in bluk"
tooltip.exportAsCsv,"Export as CSV","Exporter au format CSV","CSV के रूप में निर्यात करें","Export ca CSV"
tooltip.exportAsPdf,"Export as PDF","Exporter au format PDF","PDF के रूप में निर्यात करें","Export ca PDF"
tooltip.print,"Print","Imprimer","प्रिंट","Printeaza"
types.Active,"Active","Actif","सक्रिय","Incep la"
types.Cancelled,"Cancelled","Annulé","रद्द","Anulat"
types.Completed,"Completed","Terminé","पूरा किया गया","Completat"
types.Deactive,"Deactive","Désactivé","निष्क्रिय करें","Dezactivat"
types.Disable,"Disable","Désactiver","निष्क्रिय","Dezactivat"
types.Disabled,"Disabled","Désactivé","निष्क्रिय","Dezactivat"
types.Draft,"Draft","Brouillon","मस्यूदा","Draft"
types.Enabled,"Enabled","Activé","सक्रिय","Activare"
types.Expired,"Expired","Expiré","समाप्त","Expirat"
types.Failed,"Failed","Échoué","विफल","Esuat"
types.In progress,"In progress","En cours","प्रगति में","In desfasurare"
types.Incomplete,"Incomplete","Incomplet","अधूरा","Incomplet"
types.Ongoing,"Ongoing","En cours","चल रहा है","In curs"
types.Online,"Online","En ligne","ऑनलाइन","Online"
types.Paid,"Paid","Payé","भुगतान किया गया","Platit"
types.Partially received,"Partially received","Partiellement reçu","आंशिक प्राप्त","Primit partial"
types.Past due,"Past due","En retard","वक्त के परे","Scadent"
types.Pending,"Pending","En attente","लंबित","In asteptare"
types.Rejected,"Rejected","Rejeté","अस्वीकृत","Respins"
types.Resolved,"Resolved","Résolu","निर्धारित","Rezolvat"
types.Returned,"Returned","Retourné","लौट आया","Returnare"
types.Scheduled,"Scheduled","Planifié","निर्धारित","Programat"
types.Trialing,"Trialing","En essai","प्रायोग","In proba"
unsavedChanges,"Unsaved changes","Modifications non enregistrées","असहेजीते बदलाव","Modificari nesalvate"
update,"Update","Mettre à jour","अपडेट","Update"
updateFeatures,"Update features","Mettre à jour les fonctionnalités","फ़ीचर्स अपडेट करें","Actualizati functiile"
updatePIC,"Update PIC","Mettre à jour la photo de profil","प्रोफ़ाइल फ़ोटो अपडेट करें","Update poza"
upgradePlan,"Upgrade plan","Mettre à niveau le plan","योजना अपग्रेड करें","Upgrade Plan"
uploadAvatar,"Upload avatar","Télécharger un avatar","अवतार अपलोड करें","Adauga Avatar"
uploadDocument,"Upload document","Télécharger un document","दस्तावेज़ अपलोड करें","Incarcati document"
uploadFile,"Upload file","Télécharger un fichier","फ़ाइल अपलोड करें","Incarcati fisier"
uploadInsurance,"Upload insurance","Télécharger une assurance","इंश्योरेंस अपलोड करें","Incarcati Asigurare"
uploadMedia,"Upload media","Télécharger des médias","मीडिया अपलोड करें","Incarca fisier media"
uploadNow,"Upload now","Télécharger maintenant","अब अपलोड करें","Incarca acum"
uploadQualification,"Upload qualification","Télécharger une qualification","योग्यता अपलोड करें","Incarcati calificarea"
uploadThumbnail,"Upload thumbnail","Télécharger une miniature","थंबनेल अपलोड करें","Adauga miniatura"
urls,"Urls","URL","यूआरएल","URL"
user,"User","Utilisateur","उपयोगकर्ता","Utilizatori"
vertical,"Vertical","Vertical","लंबवत","Vertical"
weekSchedules.dialog.title,"Edit Weeks Schedules","Modifier les horaires hebdomadaires","सप्ताह समय सारणियों को संपादित करें","Editeaza sabloanele saptamanale"
weekSchedules.dialog.warning,"Please be careful when assigning templates. If you remove a week's template or reassign a template all data attached to that current week will be deleted as it will be treated as a new week. This includes bookings and registers connected to it. If you wish to make changes to class details for a particular day/week please use the ""Week Schedules"" tab.","Veuillez faire attention lors de l'attribution de modèles. Si vous supprimez un modèle de semaine ou réaffectez un modèle, toutes les données liées à cette semaine en cours seront supprimées car elles seront traitées comme une nouvelle semaine. Cela comprend les réservations et les registres qui y sont connectés. Si vous souhaitez apporter des modifications aux détails d'un cours pour un jour/semaine particulier, veuillez utiliser l'onglet ""Horaires de la semaine"".","कृपया ध्यानपूर्वक रहें जब आप टेम्पलेट का कार्यशैली को निर्धारित करते हैं। यदि आप एक सप्ताह के टेम्पलेट को हटाते हैं या फिर से निर्धारित करते हैं, तो उस सभी डेटा को हटा दिया जाएगा जो वर्तमान सप्ताह से जुड़ा होगा, क्योंकि इसे नए सप्ताह के रूप में देखा जाएगा। इसमें इसके साथ जुड़े बुकिंग और पंजीकरण भी शामिल हैं। यदि आप किसी विशेष दिन/सप्ताह के कक्षा विवरण में परिवर्तन करना चाहते हैं, तो कृपया ""सप्ताह अनुसूचियों"" टैब का उपयोग करें।","Vă rugăm să fiți atenți când atribuiți sabloane. Dacă eliminați un sablon pentru o săptămână sau reatribuiti un sablon, toate datele atasate săptamanii curente vor fi sterse, deoarece aceasta va fi tratata ca o saptamana noua. Acest lucru include rezervari si liste de prezentă conectate la ea. Dacă doriti să faceti modificări la detaliile clasei pentru o anumită zi/saptamana, va rugam să utilizati fila ""Programe Saptamanale""."
yearly,"Yearly","Annuel","वार्षिक","Anual"
yearlyFee,"Yearly fee","Frais annuels","वार्षिक शुल्क","Taxa anuala"
youTubeOrVimeoUrl,"YouTube or Vimeo URL","URL YouTube ou Vimeo","YouTube या Vimeo यूआरएल","URL YouTube sau Vimeo"
moduleActivityDesc,"With activity, you can view detailed histories and write notes for {module}.","Avec l'activité, vous pouvez consulter des historiques détaillés et rédiger des notes pour le {module}.","गतिविधि के साथ, आप विस्तृत इतिहास देख सकते हैं और {module} के लिए नोट्स लिख सकते हैं।","Cu ajutorul activităților, puteți vizualiza istoricurile detaliate și puteți scrie note pentru {module}."
hint.instructor,"Staff information forms provide key data on staff that can be used to keep track of who worked for the company, when, and in what positions.","Les formulaires d'informations sur le personnel fournissent des données clés sur le personnel qui peuvent être utilisées pour suivre qui a travaillé pour l'entreprise, quand, et dans quelles positions.","कर्मचारी जानकारी फॉर्म कर्मचारियों पर मुख्य डेटा प्रदान करते हैं जिसे कंपनी के लिए कौन काम किया, कब, और किस पद में काम किया गया है की निगरानी रखने के लिए प्रयुक्त किया जा सकता है।","Formularele cu informații despre personal furnizeaza date cheie despre angajati, care pot fi folosite pentru a tine evidenta cine a lucrat pentru companie, cand si în ce pozitii"
"Personal details","Personal details","Détails personnels","व्यक्तिगत विवरण","Detalii personale"
"Signup Form","Signup Form","Formulaire d'inscription","साइनअप फॉर्म","Formular de înscriere"
"Select a plan","Select a plan","Sélectionnez un forfait","एक योजना चुनें","Selectați un plan"
"Your plan","Your plan","Votre plan","तुम्हारी योजना","Planul tau"
placeholder.selectCountry,"Select country/origin","Sélectionner le pays/origine","देश/मूल का चयन करें","Selectați țara/originea"
label.slug,"Slug","Limace","स्लग","Slug"
label.draft,"Draft","Brouillon","ड्राफ्ट","Draft"
label.addCollection,"Add collection","Ajouter une collecte","संग्रह जोड़ें","Adaugă colecția"
label.skuStockKeepingUnit,"SKU (Stock Keeping Unit)","Référence (Unité de Gestion des Stocks)","भंडार रखने की इकाई (स्टॉक कीविंग यूनिट)","Unitate de Păstrare a Stocurilor (SKU)"
label.barcodeIsbnUpcGtinEtc,"Barcode (ISBN, UPC, GTIN, etc.)","Code-barres (ISBN, UPC, GTIN, etc.)","बारकोड (ISBN, UPC, GTIN, आदि)","Cod de Bare (ISBN, UPC, GTIN, etc.)"
label.option,"Option","Option","विकल्प","Opțiune"
label.pageTitle,"Page title","Titre de la page","पृष्ठ शीर्षक","Titlu pagină"
label.urlHandle,"URL handle","Poignée d'URL","URL हैंडल","Maner URL"
label.metaDescription,"Meta description","Méta-description","मेटा विवरण","Descriere meta"
label.metaKeywords,"Meta keywords","Mots-clés méta","मेटा कीवर्ड","Cuvinte cheie meta"
label.weight,"Weight","Poids","वजन","Greutate"
label.countryRegionOfOrigin,"Country/Region of origin","Pays/Région d'origine","मूल का देश/क्षेत्र","Țară/Regiune de origine"
label.hsHarmonizedSystemCode,"HS (Harmonized System) code","Code SH (Système Harmonisé)","HS (हारमोनाइज्ड सिस्टम) कोड","Cod HS (Sistem Armonizat)"
label.linkTo,"Link to","Lien vers","इसका लिंक","Link către"
label.openThisLinkIn,"Open this link in","Ouvrir ce lien dans","इस लिंक को खोलें","Deschide acest link în"
label.value,"Value","Valeur","मूल्य","Valoare"
label.attributeVisibilityMode,"Attribute visibility mode","Mode de visibilité de l'attribut","गुणधर्म दृश्यता मोड","Mod de vizibilitate a atributului"
label.descriptionOptional,"Description (optional)","Description (optionnelle)","विवरण (वैकल्पिक)","Descriere (opțional)"
label.collectionStatus,"Collection status","Statut de la collection","संग्रह स्थिति","Stare colecție"
label.thumbnail,"Thumbnail","Miniature","थंबनेल","Miniatură"
label.cancel,"Cancel","Annuler","रद्द करें","Anulare"
label.done,"Done","Terminé","किया गया","Gata"
label.applyToAll,"Apply to all","Appliquer à tous","सभी पर लागू करें","Aplicați la toate"
label.trackQuantity,"Track quantity","Suivre la quantité","मात्रा का पता लगाएं","Urmăriți cantitatea"
label.continueSellingWhenOutOfInventory,"Continue selling when out of inventory","Continuer la vente en cas de rupture de stock","स्टॉक खत्म होने पर बेचना जारी रखें","Continuați vânzarea când stocul este epuizat"
label.editLocations,"Edit Locations","Modifier les emplacements","स्थान संपादित करें","Editați locațiile"
label.remove,"Remove?","Supprimer ?","हटाएं?","Eliminați?"
label.selectOptionsFromAttribue,"Select options from attribue","Sélectionner des options à partir de l'attribut","विशेष गुण से विकल्प चुनें","Selectați opțiuni din atribut"
label.createCustomOption,"Create custom option","Créer une option personnalisée","कस्टम विकल्प बनाएं","Creați opțiune personalizată"
label.chargeTaxOnThisVariant,"Charge tax on this variant","Appliquer des taxes à cette variante","इस परिवर्तन पर कर लगाएं","Taxa pe această variantă"
label.save,"Save","Enregistrer","सहेजें","Salvați"
label.editSeo,"Edit SEO","Modifier le référencement (SEO)","SEO संपादित करें","Editați SEO"
label.thisIsAPhysicalProduct,"This is a physical product","Il s'agit d'un produit physique","यह एक भौतिक उत्पाद है","Acesta este un produs fizic"
label.actions,"Actions","Actions","क्रियाएँ","Acțiuni"
label.uploadthumbnail,"Upload thumbnail","Télécharger une miniature","थंबनेल अपलोड करें","Încărcați miniatura"
label.new,"New","Nouveau","नया","Nou"
label.compareAtPrice,"Compare at price","Prix de comparaison","तुलना कीमत","Prețul de comparație"
label.costPerItem,"Cost per item","Coût par article","प्रति आइटम लागत","Cost per articol"
label.descriptionOptional,"Description (optional)","Description (facultatif)","विवरण (वैकल्पिक)","Descriere (opțional)"
label.categoryStatus,"Category status","Statut de la catégorie","श्रेणी स्थिति","Starea categoriei"
label.parent,"Parent","Parent","माता-पिता","Părinte"
label.productStatus,"Product status","Statut du produit","उत्पाद स्थिति","Starea produsului"
label.vendor,"Vendor","Fournisseur","विक्रेता","Furnizor"
label.category,"Category","Catégorie","श्रेणी","Categorie"
label.tags,"Tags","Étiquettes","टैग","Etichete"
label.collections,"Collections","Collections","संग्रह","Colecții"
label.imagePreviewForThisValue,"Image preview for this value?","Aperçu de l'image pour cette valeur ?","इस मूल्य के लिए छवि पूर्वावलोकन?","Previzualizare imagine pentru această valoare?"
label.AddNewAttributeName,"Add new {attribute}","Ajouter un nouveau {attribute}","नई {attribute} जोड़ें","Adăugați un nou {attribute}"
label.isButton,"Is button?","Est-ce un bouton ?","क्या यह बटन है?","Este un buton?"
label.noAttributeAvaialble,"No attribute avaialble","Aucun attribut disponible","कोई गुणवत्ता उपलब्ध नहीं है","Niciun atribut disponibil"
label.noCategoryAvaialble,"No category avaialble","Aucune catégorie disponible","कोई श्रेणी उपलब्ध नहीं है","Nicio categorie disponibilă"
label.noProductAvaialble,"No product avaialble","Aucun produit disponible","कोई उत्पाद उपलब्ध नहीं है","Niciun produs disponibil"
label.manual,"Manual","Manuel","मैनुअल","Manual"
label.automated,"Automated","Automatisé","स्वचालित","Automatizat"
label.addAnotherCondition,"Add another condition","Ajouter une autre condition","एक और स्थिति जोड़ें","Adăugați o altă condiție"
label.browse,"Browse","Parcourir","ब्राउज़ करें","Navigare"
label.noProductAvaialble,"No product avaialble","Aucun produit disponible","कोई उत्पाद उपलब्ध नहीं है","Niciun produs disponibil"
label.noCollectionAvaialble,"No collection avaialble","Aucune collection disponible","कोई संग्रहण उपलब्ध नहीं है","Nicio colecție disponibilă"
label.noInventoryAvaialble,"No inventory avaialble","Aucun inventaire disponible","कोई इन्वेंटरी उपलब्ध नहीं है","Niciun inventar disponibil"
label.thisProductHasMultipleOptionsLikeDifferentSizesOrColors,"This product has multiple options, like different sizes or colors","Ce produit propose plusieurs options, comme différentes tailles ou couleurs.","इस उत्पाद में विभिन्न आकार या रंग जैसे कई विकल्प हैं","Acest produs are mai multe opțiuni, cum ar fi dimensiuni sau culori diferite"
label.bankToProduct,"Bank to product","Associer à un produit","उत्पाद को बैंक से जोड़ें","Bancă la produs"
label.addAttribute,"Add attribute","Ajouter un attribut","विशेषता जोड़ें","Adăugați atributul"
label.addCategory,"Add category","Ajouter un catégorie","कैटेगरी जोड़े","Adaugă categorie"
modules.categories,"Categories","Catégories","श्रेणियाँ","Categorii"
modules.singular.category,"category","catégorie","श्रेणी","categorie"
modules.plural.categories,"categories","catégories","श्रेणियाँ","categorii"
modules.collections,"Collections","Collections","संग्रह","Colecții"
modules.singular.collection,"collection","collection","संग्रह","Colectie"
modules.plural.collections,"collections","collections","संग्रह","colecții"
modules.attributes,"Attributes","Attributs","गुण","Attributes"
modules.singular.attribute,"attribute","attribut","गुण","attribute"
modules.plural.attributes,"attributes","attributs","गुण","attributes"
label.inventory,"Inventory","Inventaire","भंडार","Inventar"
label.categories,"Categories","Catégories","श्रेणियाँ","Categorii"
label.attributes,"Attributes","Les attributs","गुण","Atribute"
label.sortBy,"Sort by","Trier par","इसके अनुसार क्रमबद्ध करें","Filtrează după"
label.vendor,"Vendor","Fournisseur","विक्रेता","Furnizor"
label.taggedWith,"Tagged with","Marqué avec","साथ टैग किया गया","Etichetat cu"
label.collection,"Collection","Collection","संग्रह","Colectie"
label.bestSelling,"Best selling","Best-seller","सर्वाधिक बिकने वाला","Cele mai vândute"
label.productTitleAZ,"Product title A-Z","Titre du produit A-Z","उत्पाद शीर्षक A-Z","Titlu produs A-Z"
label.productTitleZA,"Product title Z-A","Titre du produit Z-A","उत्पाद शीर्षक Z-A","Titlu produs Z-A"
label.highestPrice,"Highest price","Prix le plus élevé","सबसे उच्च मूल्य","Preț cel mai mare"
label.lowestPrice,"Lowest price","Prix le plus bas","सबसे कम मूल्य","Preț cel mai mic"
label.newest,"Newest","Le plus récent","नवीनतम","Cel mai nou"
label.oldest,"Oldest","Le plus ancien","सबसे पुराना","Cel mai vechi"
label.filters,"Filters","Filtres","फ़िल्टर","Filtre"
label.lowestAvailable,"Lowest available","Le plus bas disponible","सबसे कम उपलब्ध","Cea mai mică disponibilitate"
label.highestAvailable,"Highest available","Le plus haut disponible","सबसे अधिक उपलब्ध","Cea mai mare disponibilitate"
label.skuAZ,"SKU A-Z","SKU A-Z","SKU A-Z","SKU A-Z"
label.skuZA,"SKU Z-A","SKU Z-A","SKU Z-A","SKU Z-A"
label.sku,"SKU","SKU","SKU","SKU"
label.whenSoldOut,"When sold out","Lorsqu'épuisé","अगर समान समाप्त हो जाए","Când este epuizat"
label.available,"Available","Disponible","उपलब्ध","Disponibil"
label.editQuantity,"Edit quantity","Modifier la quantité","मात्रा संपादित करें","Modifică cantitatea"
label.viewProducts,"View Products","Voir les produits","उत्पाद देखें","Vizualizați produsele"
menus.orders,"Orders","Orders","ऑर्डर्स","Orders"
modules.orders,"Orders","Orders","ऑर्डर्स","Orders"
modules.singular.order,"order","order","आर्डर","order"
modules.plural.orders,"orders","orders","ऑर्डर्स","orders"
label.banners,"Banners","Bannières","बैनर","Bannere"
markAsInstructor,"Mark as instructor","Marquer comme instructeur","प्रशिक्षक के रूप में चिन्हित करें","Seteaza ca instructor"
removeFromInstructor,"Remove from Instructor","Retirer de l'instructeur","अनुदेशक से हटाएँ","Scoateți din instructor"
Stripe,"Stripe","","",""
Automatic,"Automatic","","",""
Cash,"Cash","","",""
Payment,"Payment","","",""
